Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
ansible,Module_EC,SUPPORT,0.99,0.99,19.13,3136.75,56.01,0.7,0.82,182
ansible,Module_EC,TESTING,0.94,0.94,632.05,3777802.97,1943.66,0.88,0.97,214
ansible,Module_EC,UPGRADE,0.98,0.98,5.55,163.7,12.79,0.72,0.92,154
cli,Module_CC,BUG,0.32,-0.19,8.71,104.25,10.21,0.25,0.38,32
cli,Module_CC,DOCS,-11.41,25.82,6.15,44.14,6.64,0.0,0.0,11
cli,Module_CC,FEATURE,-0.16,3.32,14.93,631.1,25.12,0.33,0.67,10
cli,Module_CC,OTHER,-13.36,-21.98,614.73,1226353.47,1107.41,0.44,0.56,36
cli,Module_CC,REFACTOR,-0.61,-2.22,29.51,1196.41,34.59,0.29,0.43,25
cli,Module_CC,RELEASE,-14.89,-14.89,5.8,42.7,6.53,0.0,0.0,13
cli,Module_CC,SUPPORT,-0.68,-3.2,20.67,523.81,22.89,0.17,0.33,21
cli,Module_CC,TESTING,-0.16,-0.86,469.17,1416570.16,1190.2,0.33,0.56,33
cli,Module_CC,UPGRADE,-0.27,-2.17,7.98,129.47,11.38,0.0,0.17,21
cli,Module_EC,BUG,0.8,0.65,4.56,42.38,6.51,0.25,0.25,32
cli,Module_EC,DOCS,-33.45,69.9,1.89,7.66,2.77,0.0,0.0,11
cli,Module_EC,FEATURE,0.1,2.8,17.86,951.47,30.85,0.0,0.0,10
cli,Module_EC,OTHER,0.77,0.63,63.7,9126.31,95.53,0.11,0.11,36
cli,Module_EC,REFACTOR,-0.17,-1.34,10.45,262.25,16.19,0.14,0.43,25
cli,Module_EC,RELEASE,0.76,0.76,0.96,2.24,1.5,0.33,0.33,13
cli,Module_EC,SUPPORT,-9.64,-25.6,10.57,173.83,13.18,0.0,0.0,21
cli,Module_EC,TESTING,-0.03,-0.65,74.41,38252.04,195.58,0.0,0.12,33
cli,Module_EC,UPGRADE,-179.18,-449.45,44.63,11916.85,109.16,0.0,0.5,21
nova,Module_CC,BUG,0.93,0.93,56.24,16804.81,129.63,0.76,0.88,204
nova,Module_CC,DOCS,0.96,0.96,7.81,165.38,12.86,0.63,0.83,139
nova,Module_CC,FEATURE,0.84,0.82,2.64,23.78,4.88,0.71,0.83,94
nova,Module_CC,OTHER,0.43,0.39,1084.14,32677318.5,5716.41,0.58,0.85,207
nova,Module_CC,REFACTOR,0.35,0.28,22.21,3261.19,57.11,0.45,0.64,132
nova,Module_CC,RELEASE,0.43,0.38,4.55,224.38,14.98,0.72,0.86,144
nova,Module_CC,SUPPORT,-0.39,-0.51,67.79,38522.9,196.27,0.44,0.72,154
nova,Module_CC,TESTING,0.84,0.83,99.63,39027.91,197.55,0.46,0.67,190
nova,Module_CC,UPGRADE,0.82,0.79,6.38,163.92,12.8,0.48,0.64,98
nova,Module_EC,BUG,0.88,0.87,157.45,130961.89,361.89,0.59,0.76,204
nova,Module_EC,DOCS,0.96,0.96,18.01,1022.92,31.98,0.69,0.89,139
nova,Module_EC,FEATURE,0.66,0.61,7.49,147.19,12.13,0.38,0.58,94
nova,Module_EC,OTHER,0.52,0.49,1712.53,77481617.92,8802.36,0.73,0.87,207
nova,Module_EC,REFACTOR,0.19,0.11,50.76,28552.67,168.98,0.42,0.73,132
nova,Module_EC,RELEASE,0.46,0.41,8.82,885.44,29.76,0.67,0.83,144
nova,Module_EC,SUPPORT,-3.45,-3.83,255.99,428784.87,654.82,0.44,0.64,154
nova,Module_EC,TESTING,0.79,0.78,108.77,81982.18,286.33,0.56,0.69,190
nova,Module_EC,UPGRADE,0.7,0.66,16.35,1393.1,37.32,0.4,0.68,98
angular.js,Module_CC,BUG,0.92,0.91,90.22,42118.27,205.23,0.51,0.73,196
angular.js,Module_CC,DOCS,0.98,0.98,34.22,3769.22,61.39,0.56,0.77,191
angular.js,Module_CC,FEATURE,0.85,0.84,31.6,6231.31,78.94,0.58,0.76,152
angular.js,Module_CC,OTHER,0.65,0.62,171.02,163373.72,404.2,0.39,0.54,182
angular.js,Module_CC,REFACTOR,0.84,0.83,24.41,3072.36,55.43,0.46,0.72,153
angular.js,Module_CC,RELEASE,0.93,0.92,1.5,10.38,3.22,0.81,0.91,126
angular.js,Module_CC,SUPPORT,0.53,0.33,5.14,51.48,7.17,0.09,0.64,41
angular.js,Module_CC,TESTING,0.87,0.86,12.79,642.37,25.34,0.48,0.78,158
angular.js,Module_CC,UPGRADE,0.97,0.96,3.43,75.77,8.7,0.9,0.95,84
angular.js,Module_EC,BUG,0.92,0.91,34.22,8566.19,92.55,0.57,0.73,196
angular.js,Module_EC,DOCS,0.92,0.91,12.36,1346.58,36.7,0.53,0.63,191
angular.js,Module_EC,FEATURE,0.98,0.98,4.16,58.58,7.65,0.52,0.67,152
angular.js,Module_EC,OTHER,0.33,0.28,50.36,23194.41,152.3,0.33,0.53,182
angular.js,Module_EC,REFACTOR,0.84,0.83,7.55,410.22,20.25,0.56,0.78,153
angular.js,Module_EC,RELEASE,0.99,0.99,0.04,0.02,0.13,0.78,0.89,126
angular.js,Module_EC,SUPPORT,0.96,0.94,0.06,0.01,0.1,0.62,0.62,41
angular.js,Module_EC,TESTING,0.37,0.32,8.25,441.16,21.0,0.76,0.76,158
angular.js,Module_EC,UPGRADE,0.74,0.69,1.18,7.41,2.72,0.53,0.82,84
lock,Module_CC,BUG,0.98,0.98,5.7,94.55,9.72,0.21,0.43,168
lock,Module_CC,DOCS,0.0,1.5,0.02,0.0,0.02,1.0,1.0,8
lock,Module_CC,FEATURE,-0.6,-3.0,6.81,117.19,10.83,0.0,0.2,21
lock,Module_CC,OTHER,0.89,0.88,15.72,4265.54,65.31,0.2,0.4,220
lock,Module_CC,REFACTOR,0.0,1.5,0.22,0.05,0.22,1.0,1.0,5
lock,Module_CC,RELEASE,0.97,0.97,1.61,55.8,7.47,0.87,0.93,239
lock,Module_CC,SUPPORT,0.61,0.49,2.0,7.93,2.82,0.29,0.43,54
lock,Module_CC,TESTING,0.72,0.64,6.89,206.05,14.35,0.36,0.5,54
lock,Module_CC,UPGRADE,-7.4,-13.7,2.33,8.27,2.88,0.25,0.38,29
lock,Module_EC,BUG,0.39,0.34,32.92,13512.17,116.24,0.17,0.41,168
lock,Module_EC,DOCS,1.0,1.0,0.0,0.0,0.0,1.0,1.0,8
lock,Module_EC,FEATURE,-0.39,-2.48,180.84,49253.36,221.93,0.0,0.2,21
lock,Module_EC,OTHER,-0.77,-0.87,70.14,22386.33,149.62,0.09,0.24,220
lock,Module_EC,REFACTOR,1.0,1.0,0.0,0.0,0.0,,,5
lock,Module_EC,RELEASE,0.98,0.98,2.16,34.34,5.86,0.75,0.8,239
lock,Module_EC,SUPPORT,-31.28,-40.96,28.83,4082.66,63.9,0.22,0.22,54
lock,Module_EC,TESTING,-90.15,-117.5,100.08,71053.13,266.56,0.0,0.0,54
lock,Module_EC,UPGRADE,-8.6,-15.8,56.7,6316.97,79.48,0.0,0.0,29
kubernetes,Module_CC,BUG,0.86,0.85,35.71,6571.64,81.07,0.38,0.57,307
kubernetes,Module_CC,DOCS,0.64,0.62,160.65,59745.69,244.43,0.39,0.49,204
kubernetes,Module_CC,FEATURE,0.71,0.68,7.42,557.27,23.61,0.39,0.5,142
kubernetes,Module_CC,OTHER,0.73,0.72,380.17,1205846.2,1098.11,0.63,0.76,471
kubernetes,Module_CC,REFACTOR,0.65,0.62,77.09,31819.58,178.38,0.4,0.55,159
kubernetes,Module_CC,RELEASE,0.65,0.64,27.09,8720.73,93.38,0.18,0.23,304
kubernetes,Module_CC,SUPPORT,0.82,0.81,15.33,1086.21,32.96,0.58,0.78,219
kubernetes,Module_CC,TESTING,0.8,0.79,69.77,31270.75,176.84,0.44,0.64,262
kubernetes,Module_CC,UPGRADE,0.54,0.51,13.65,1023.41,31.99,0.37,0.54,225
kubernetes,Module_EC,BUG,0.79,0.78,150.74,167580.54,409.37,0.3,0.44,307
kubernetes,Module_EC,DOCS,0.81,0.8,79.82,27871.15,166.95,0.28,0.42,204
kubernetes,Module_EC,FEATURE,0.59,0.55,9.61,713.02,26.7,0.35,0.41,142
kubernetes,Module_EC,OTHER,0.72,0.71,564.02,2018563.67,1420.76,0.25,0.43,471
kubernetes,Module_EC,REFACTOR,0.61,0.58,21.72,1872.12,43.27,0.38,0.55,159
kubernetes,Module_EC,RELEASE,0.63,0.61,33.61,15064.17,122.74,0.14,0.23,304
kubernetes,Module_EC,SUPPORT,0.92,0.92,82.41,43301.01,208.09,0.36,0.51,219
kubernetes,Module_EC,TESTING,0.67,0.65,103.49,86567.12,294.22,0.47,0.61,262
kubernetes,Module_EC,UPGRADE,0.77,0.76,9.93,580.93,24.1,0.28,0.43,225
mesos,Module_CC,BUG,0.99,0.99,11.16,282.11,16.8,0.78,0.89,105
mesos,Module_CC,DOCS,0.76,0.71,27.96,3962.42,62.95,0.47,0.79,76
mesos,Module_CC,FEATURE,0.89,0.84,0.32,0.25,0.5,0.6,0.9,37
mesos,Module_CC,OTHER,0.98,0.98,96.27,27975.16,167.26,0.64,0.86,109
mesos,Module_CC,REFACTOR,0.88,0.85,7.89,142.03,11.92,0.39,0.72,71
mesos,Module_CC,RELEASE,0.86,0.83,3.31,37.62,6.13,0.79,1.0,73
mesos,Module_CC,SUPPORT,0.98,0.98,6.51,69.79,8.35,0.68,0.74,74
mesos,Module_CC,TESTING,0.94,0.93,21.15,1847.31,42.98,0.61,0.74,89
mesos,Module_CC,UPGRADE,0.64,0.56,5.69,122.7,11.08,0.72,0.78,71
mesos,Module_EC,BUG,0.95,0.94,11.59,1029.49,32.09,0.68,0.72,105
mesos,Module_EC,DOCS,0.7,0.64,14.97,1205.83,34.73,0.42,0.68,76
mesos,Module_EC,FEATURE,1.0,1.0,0.04,0.0,0.07,1.0,1.0,37
mesos,Module_EC,OTHER,0.98,0.98,42.11,8170.33,90.39,0.6,0.76,109
mesos,Module_EC,REFACTOR,0.95,0.94,3.84,29.8,5.46,0.36,0.79,71
mesos,Module_EC,RELEASE,0.77,0.72,3.63,36.3,6.02,0.63,0.89,73
mesos,Module_EC,SUPPORT,0.88,0.86,6.42,139.0,11.79,0.47,0.82,74
mesos,Module_EC,TESTING,0.9,0.88,18.5,1432.56,37.85,0.61,0.94,89
mesos,Module_EC,UPGRADE,0.79,0.75,3.42,33.9,5.82,0.41,0.76,71
Odin,Module_CC,BUG,-12.4,7.7,84.2,7717.75,87.85,0.0,0.5,6
Odin,Module_EC,BUG,0.16,1.42,6.48,83.98,9.16,0.5,0.5,6
nixpkgs,Module_CC,BUG,0.96,0.94,39.18,5718.02,75.62,0.8,1.0,37
nixpkgs,Module_CC,DOCS,0.99,0.98,2.89,15.17,3.89,0.43,0.57,25
nixpkgs,Module_CC,FEATURE,-0.84,-2.68,7.2,65.98,8.12,0.0,0.14,25
nixpkgs,Module_CC,OTHER,0.82,0.73,612.7,727038.7,852.67,0.4,0.4,38
