Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
nova,Line_CC,RELEASE,0.62,0.6,497.58,1541784.81,1241.69,0.33,0.53,144
nova,Line_CC,SUPPORT,0.58,0.56,1932.71,15423602.55,3927.29,0.36,0.56,154
nova,Line_CC,TESTING,0.73,0.72,4601.43,78166477.28,8841.18,0.33,0.58,190
nova,Line_CC,UPGRADE,0.78,0.76,404.25,523923.54,723.83,0.36,0.56,98
nova,Line_EC,BUG,0.3,0.27,26879.26,4458299055.68,66770.5,0.35,0.57,204
nova,Line_EC,DOCS,0.59,0.56,3383.11,31533828.31,5615.5,0.29,0.49,139
nova,Line_EC,FEATURE,-0.04,-0.14,431.17,741581.1,861.15,0.42,0.5,94
nova,Line_EC,OTHER,0.64,0.63,185017.85,233613242273.87,483335.54,0.27,0.44,207
nova,Line_EC,REFACTOR,0.45,0.41,1784.97,17358821.27,4166.39,0.48,0.73,132
nova,Line_EC,RELEASE,0.76,0.75,1154.91,7533470.73,2744.72,0.31,0.56,144
nova,Line_EC,SUPPORT,-1.38,-1.51,6975.37,306829457.47,17516.55,0.31,0.51,154
nova,Line_EC,TESTING,0.71,0.7,6279.46,135339095.03,11633.53,0.48,0.56,190
nova,Line_EC,UPGRADE,0.79,0.77,965.82,3354736.22,1831.59,0.4,0.52,98
angular.js,Line_CC,BUG,0.77,0.76,5030.92,124783693.95,11170.66,0.24,0.45,196
angular.js,Line_CC,DOCS,0.37,0.34,13082.92,1665828641.9,40814.56,0.19,0.29,191
angular.js,Line_CC,FEATURE,0.55,0.52,4150.87,59434716.65,7709.39,0.32,0.39,152
angular.js,Line_CC,OTHER,0.57,0.55,12190.5,451457068.43,21247.52,0.22,0.37,182
angular.js,Line_CC,REFACTOR,0.47,0.44,5111.41,120056236.37,10957.02,0.21,0.44,153
angular.js,Line_CC,RELEASE,0.55,0.52,106.06,37202.91,192.88,0.31,0.44,126
angular.js,Line_CC,SUPPORT,-0.01,-0.26,72.44,12462.27,111.63,0.27,0.27,41
angular.js,Line_CC,TESTING,0.7,0.68,1971.15,10009298.82,3163.75,0.28,0.5,158
