Project,Model,Task,R_Squared,R_Squared_X,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_25_X,PRED_50,PRED_50_X,T_Records
roslyn,Module_EC,DOCS,-0.02,,-1.04,19.36,971.8,31.17,0.0,0.07,0.33,0.07,28
roslyn,Module_CC,REFACTOR,0.44,,0.1,63.0,7063.42,84.04,0.0,0.11,0.33,0.26,35
roslyn,Module_EC,REFACTOR,0.32,,-0.09,298.97,563167.51,750.44,0.0,0.0,0.33,0.06,35
roslyn,Module_CC,TESTING,0.73,,0.63,147.28,37562.29,193.81,0.33,0.27,0.67,0.53,45
roslyn,Module_EC,TESTING,0.34,,0.09,711.26,1139235.35,1067.35,0.0,0.1,0.18,0.31,45
roslyn,Module_CC,FEATURE,0.19,,-0.3,69.78,14511.74,120.46,0.22,0.24,0.33,0.36,33
roslyn,Module_EC,FEATURE,-0.12,,-0.79,963.7,3169818.17,1780.4,0.14,0.05,0.14,0.14,33
roslyn,Module_CC,UPGRADE,-53.34,,-94.1,51.08,8381.76,91.55,0.0,0.03,0.25,0.2,30
roslyn,Module_EC,UPGRADE,0.09,,-0.59,78.26,24224.01,155.64,0.25,0.13,0.25,0.2,30
roslyn,Module_CC,RELEASE,0.05,,-0.66,9.67,136.76,11.69,0.0,0.03,0.25,0.14,29
roslyn,Module_EC,RELEASE,-5.01,,-9.52,16.12,681.37,26.1,0.2,0.27,0.4,0.27,29
roslyn,Module_CC,SUPPORT,0.25,,-0.07,130.58,43263.75,208.0,0.09,0.17,0.27,0.34,41
roslyn,Module_EC,SUPPORT,0.59,,0.41,875.71,1449190.14,1203.82,0.0,0.0,0.12,0.2,41
roslyn,Module_CC,OTHER,-0.04,,-0.3,401.33,426216.91,652.85,0.31,0.3,0.38,0.43,61
roslyn,Module_EC,OTHER,0.64,,0.55,948.04,6933235.72,2633.1,0.36,0.16,0.43,0.31,61
ansible,Module_CC,BUG,0.97,,0.97,71.35,31488.25,177.45,0.65,0.61,0.79,0.78,246
ansible,Module_EC,BUG,0.98,,0.98,393.83,1447906.85,1203.29,0.69,0.6,0.8,0.71,246
ansible,Module_CC,DOCS,0.92,,0.91,57.5,12795.56,113.12,0.56,0.44,0.73,0.62,180
ansible,Module_EC,DOCS,0.86,,0.85,478.71,5994256.47,2448.32,0.64,0.55,0.85,0.73,180
ansible,Module_CC,REFACTOR,0.99,,0.99,6.38,198.69,14.1,0.74,0.66,0.77,0.76,122
ansible,Module_EC,REFACTOR,1.0,,1.0,3.03,56.22,7.5,0.52,0.62,0.56,0.73,122
ansible,Module_CC,TESTING,0.92,,0.92,88.19,47524.53,218.0,0.61,0.46,0.81,0.58,214
ansible,Module_EC,TESTING,0.94,,0.94,610.02,3667404.26,1915.05,0.88,0.59,0.97,0.72,214
ansible,Module_CC,FEATURE,0.94,,0.93,3.63,36.97,6.08,0.62,0.59,0.78,0.69,125
ansible,Module_EC,FEATURE,0.98,,0.98,32.09,5315.23,72.91,0.91,0.71,0.91,0.77,125
ansible,Module_CC,UPGRADE,0.92,,0.91,2.69,22.49,4.74,0.72,0.56,0.77,0.71,154
ansible,Module_EC,UPGRADE,0.98,,0.98,5.41,157.3,12.54,0.63,0.59,0.85,0.64,154
ansible,Module_CC,RELEASE,0.96,,0.96,4.44,48.48,6.96,0.65,0.42,0.89,0.72,251
ansible,Module_EC,RELEASE,0.97,,0.97,0.83,14.01,3.74,0.85,0.84,0.92,0.87,251
ansible,Module_CC,SUPPORT,0.99,,0.99,4.76,67.12,8.19,0.78,0.64,0.85,0.75,182
ansible,Module_EC,SUPPORT,0.99,,0.99,19.61,3221.25,56.76,0.74,0.66,0.87,0.84,182
ansible,Module_CC,OTHER,0.97,,0.97,180.88,192953.11,439.26,0.58,0.51,0.75,0.69,266
ansible,Module_EC,OTHER,0.97,,0.97,924.49,10411824.31,3226.74,0.67,0.62,0.78,0.73,266
cli,Module_CC,BUG,0.19,,-0.42,9.21,123.85,11.13,0.38,0.19,0.38,0.38,32
cli,Module_EC,BUG,0.81,,0.67,4.55,41.01,6.4,0.25,0.06,0.38,0.26,32
cli,Module_CC,DOCS,-15.25,,33.5,6.67,57.77,7.6,0.0,0.09,0.0,0.18,11
cli,Module_EC,DOCS,-31.62,,66.24,1.73,7.25,2.69,0.0,0.09,0.0,0.18,11
cli,Module_CC,REFACTOR,-0.7,,-2.4,31.17,1261.55,35.52,0.14,0.24,0.43,0.32,25
cli,Module_EC,REFACTOR,-0.31,,-1.62,11.57,292.05,17.09,0.14,0.05,0.43,0.36,25
cli,Module_CC,TESTING,-0.16,,-0.86,469.79,1419547.39,1191.45,0.22,0.24,0.56,0.33,33
cli,Module_EC,TESTING,-0.03,,-0.65,74.48,38213.2,195.48,0.0,0.03,0.12,0.1,33
cli,Module_CC,FEATURE,-0.16,,3.32,15.37,633.36,25.17,0.33,0.3,0.33,0.5,10
cli,Module_EC,FEATURE,0.05,,2.9,18.33,1002.24,31.66,0.0,0.0,0.0,0.0,10
cli,Module_CC,UPGRADE,-0.0,,-1.5,7.3,102.33,10.12,0.0,0.14,0.0,0.38,21
cli,Module_EC,UPGRADE,-215.17,,-539.42,48.86,14297.11,119.57,0.0,0.0,0.5,0.09,21
cli,Module_CC,RELEASE,-17.96,,-17.96,6.31,50.96,7.14,0.0,0.23,0.0,0.62,13
cli,Module_EC,RELEASE,0.74,,0.74,1.01,2.51,1.58,0.33,0.17,0.33,0.17,13
cli,Module_CC,SUPPORT,-0.63,,-3.07,20.05,511.02,22.61,0.17,0.24,0.33,0.43,21
cli,Module_EC,SUPPORT,-7.55,,-20.38,9.19,139.7,11.82,0.0,0.17,0.0,0.22,21
cli,Module_CC,OTHER,-9.77,,-16.23,543.58,919764.21,959.04,0.44,0.33,0.56,0.5,36
cli,Module_EC,OTHER,0.72,,0.55,71.89,11331.13,106.45,0.11,0.19,0.22,0.36,36
nova,Module_CC,BUG,0.92,,0.91,57.87,18357.67,135.49,0.76,0.61,0.86,0.82,204
nova,Module_EC,BUG,0.88,,0.87,160.37,134301.12,366.47,0.59,0.5,0.75,0.71,204
nova,Module_CC,DOCS,0.96,,0.96,7.87,166.67,12.91,0.63,0.52,0.83,0.7,139
nova,Module_EC,DOCS,0.95,,0.95,19.38,1154.37,33.98,0.69,0.49,0.89,0.67,139
nova,Module_CC,REFACTOR,0.33,,0.26,21.07,3351.23,57.89,0.48,0.41,0.67,0.61,132
