Version, NC, NO, E_Module, E_Line
v4.3-rc6, 30, 94, 151, 2015
v4.3-rc7, 70, 208, 218, 2578
v4.4, 1551, 12714, 10076, 732239
v4.4-rc1, 0, 0, 1463, 31445
v4.4-rc2, 77, 309, 334, 9646
v4.4-rc3, 64, 213, 245, 5688
v4.4-rc4, 104, 227, 363, 6640
v4.4-rc5, 80, 180, 256, 3070
v4.4-rc6, 90, 219, 263, 3508
v4.4-rc7, 26, 83, 91, 1406
v4.4-rc8, 19, 63, 73, 1157
v4.5, 1425, 11850, 10648, 771579
v4.5-rc1, 0, 0, 1709, 86226
v4.5-rc2, 48, 267, 267, 5758
v4.5-rc3, 105, 328, 464, 59032
v4.5-rc4, 74, 248, 296, 4459
v4.5-rc5, 72, 173, 229, 3144
v4.5-rc6, 88, 300, 325, 8550
v4.5-rc7, 35, 143, 150, 3359
v4.6, 1602, 13276, 10144, 768686
v4.6-rc1, 0, 0, 1697, 29431
v4.6-rc2, 49, 185, 237, 3580
v4.6-rc3, 73, 276, 697, 12267
v4.6-rc4, 58, 127, 172, 2234
v4.6-rc5, 55, 182, 199, 2888
v4.6-rc6, 55, 170, 213, 3608
v4.6-rc7, 84, 162, 208, 2786
v4.7, 1431, 12215, 9844, 690661
v4.7-rc1, 0, 0, 1442, 23979
v4.7-rc2, 56, 200, 256, 4008
v4.7-rc3, 96, 250, 336, 4825
v4.7-rc4, 64, 234, 243, 3740
v4.7-rc5, 48, 184, 242, 2893
v4.7-rc6, 113, 248, 275, 4014
v4.7-rc7, 48, 104, 123, 1718
v4.8, 1595, 13227, 11441, 910106
v4.8-rc1, 0, 0, 1577, 26985
v4.8-rc2, 42, 250, 277, 4222
v4.8-rc3, 95, 258, 282, 5793
v4.8-rc4, 60, 193, 207, 3161
v4.8-rc5, 102, 270, 368, 4655
v4.8-rc6, 62, 155, 171, 1716
v4.8-rc7, 93, 239, 259, 4049
v4.8-rc8, 66, 152, 180, 2777
v4.9, 1956, 15528, 11211, 987956
v4.9-rc1, 0, 0, 1861, 33609
v4.9-rc2, 47, 236, 287, 4060
v4.9-rc3, 74, 269, 288, 4502
v4.9-rc4, 85, 368, 450, 9441
v4.9-rc5, 73, 191, 249, 3282
v4.9-rc6, 96, 274, 301, 4741
v4.9-rc7, 64, 183, 265, 4624
v4.9-rc8, 79, 120, 192, 2019
v5.0, 18601, 158638, 55000, 10076195
v5.0-rc1, 0, 0, 2031, 32989
v5.0-rc2, 58, 234, 482, 6746
v5.0-rc3, 111, 362, 458, 6787
v5.0-rc4, 83, 274, 278, 4816
v5.0-rc5, 57, 190, 233, 2674
v5.0-rc6, 99, 295, 342, 5149
v5.0-rc7, 67, 169, 243, 3114
v5.0-rc8, 75, 189, 220, 3095
v5.1, 1767, 12500, 11893, 786108
v5.1-rc1, 0, 0, 1760, 37639
v5.1-rc2, 36, 264, 295, 8036
v5.1-rc3, 154, 387, 558, 13226
v5.1-rc4, 93, 226, 295, 5080
v5.1-rc5, 79, 182, 213, 3127
v5.1-rc6, 82, 261, 319, 4435
v5.1-rc7, 40, 118, 157, 1781
v5.2, 1568, 13727, 30602, 1050273
v5.2-rc1, 0, 0, 22700, 195116
v5.2-rc2, 81, 343, 5301, 34019
v5.2-rc3, 103, 331, 8220, 78101
v5.2-rc4, 80, 362, 3906, 40444
v5.2-rc5, 62, 184, 209, 3160
v5.2-rc6, 111, 365, 5474, 37111
v5.2-rc7, 49, 127, 157, 1858
v5.3, 1780, 14103, 13254, 1276030
