Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
tensorflow,Line_UC,UPGRADE,0.13,0.1,238.22,695487.57,833.96,0.83,0.83,106,0,0.38
tensorflow,Module_CC,UPGRADE,0.49,0.47,1.17,17.87,4.23,0.96,0.96,106,0,0.448
tensorflow,Module_EC,UPGRADE,0.42,0.4,20.14,8836.21,94.0,0.87,0.87,106,0,0.476
tensorflow,Module_UC,UPGRADE,0.65,0.64,6.14,729.45,27.01,0.87,0.87,106,0,0.38
moby,Line_CC,UPGRADE,1.0,1.0,0.11,1.35,1.16,0.99,0.99,319,0,0.744
moby,Line_EC,UPGRADE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.708
moby,Line_UC,UPGRADE,0.91,0.91,110.23,73203.79,270.56,0.84,0.84,319,0,0.455
moby,Module_CC,UPGRADE,1.0,1.0,0.02,0.04,0.19,0.99,0.99,319,0,0.744
moby,Module_EC,UPGRADE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.708
moby,Module_UC,UPGRADE,0.93,0.93,2.7,51.09,7.15,0.9,0.9,319,0,0.455
vue,Line_CC,UPGRADE,0.01,-0.01,35.5,256241.12,506.2,0.99,0.99,248,0,0.727
vue,Line_EC,UPGRADE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,248,0,0.751
vue,Line_UC,UPGRADE,0.06,0.04,2.44,852.83,29.2,0.97,0.97,248,0,0.702
vue,Module_CC,UPGRADE,0.82,0.82,0.24,1.88,1.37,1.0,1.0,248,0,0.727
vue,Module_EC,UPGRADE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,248,0,0.751
vue,Module_UC,UPGRADE,0.24,0.23,0.31,3.86,1.96,0.95,0.95,248,0,0.702
neutron,Line_CC,UPGRADE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.736
neutron,Line_EC,UPGRADE,1.0,1.0,651.97,5457347.28,2336.1,0.82,0.82,203,0,0.367
neutron,Line_UC,UPGRADE,0.98,0.98,13.08,2773.39,52.66,0.95,0.95,203,0,0.622
neutron,Module_CC,UPGRADE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.736
neutron,Module_EC,UPGRADE,0.83,0.83,10.03,736.09,27.13,0.82,0.82,203,0,0.367
neutron,Module_UC,UPGRADE,0.94,0.94,0.36,1.47,1.21,0.95,0.95,203,0,0.622
