Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
tensorflow,Line_UC,TESTING,0.9,0.9,3903.23,165620144.45,12869.35,0.42,0.48,106,0,0.285
tensorflow,Module_CC,TESTING,0.86,0.85,3.09,89.89,9.48,0.77,0.83,106,0,0.413
tensorflow,Module_EC,TESTING,0.79,0.78,89.17,48819.54,220.95,0.7,0.76,106,0,0.413
tensorflow,Module_UC,TESTING,0.77,0.76,74.98,77935.61,279.17,0.62,0.76,106,0,0.285
vue,Line_CC,TESTING,1.0,1.0,413.34,3892599.96,1972.97,0.81,0.83,248,0,0.585
vue,Line_EC,TESTING,0.86,0.86,0.89,81.08,9.0,0.99,1.0,248,0,0.733
vue,Line_UC,TESTING,0.7,0.7,396.69,4764567.4,2182.79,0.75,0.8,248,0,0.535
vue,Module_CC,TESTING,0.96,0.96,8.96,1554.08,39.42,0.88,0.9,248,0,0.585
vue,Module_EC,TESTING,0.88,0.88,0.02,0.02,0.15,0.99,0.99,248,0,0.733
vue,Module_UC,TESTING,0.97,0.97,8.73,2251.38,47.45,0.79,0.85,248,0,0.535
neutron,Line_CC,TESTING,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.718
neutron,Line_EC,TESTING,0.85,0.85,3567.86,127500264.07,11291.6,0.55,0.65,203,0,0.245
neutron,Line_UC,TESTING,0.7,0.69,368.54,2215699.61,1488.52,0.55,0.63,203,0,0.312
neutron,Module_CC,TESTING,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.718
neutron,Module_EC,TESTING,0.92,0.92,74.81,38291.6,195.68,0.61,0.81,203,0,0.245
neutron,Module_UC,TESTING,0.62,0.61,9.78,1890.79,43.48,0.63,0.75,203,0,0.312
gitlabhq,Line_CC,REFACTOR,0.73,0.73,100.35,261244.4,511.12,0.85,0.88,1154,0,0.591
gitlabhq,Line_EC,REFACTOR,0.72,0.72,215.06,1247949.52,1117.12,0.83,0.86,1154,0,0.57
gitlabhq,Line_UC,REFACTOR,0.59,0.59,499.03,7033364.41,2652.05,0.78,0.84,1154,0,0.521
gitlabhq,Module_CC,REFACTOR,0.56,0.56,2.79,199.3,14.12,0.85,0.88,1154,0,0.591
gitlabhq,Module_EC,REFACTOR,0.71,0.71,6.57,743.67,27.27,0.83,0.87,1154,0,0.57
gitlabhq,Module_UC,REFACTOR,0.6,0.6,10.65,5550.91,74.5,0.81,0.88,1154,0,0.521
moby,Line_CC,TESTING,0.85,0.85,190.38,1050033.91,1024.71,0.93,0.94,319,0,0.699
moby,Line_EC,TESTING,0.97,0.97,15.27,7650.73,87.47,0.97,0.98,319,0,0.683
moby,Line_UC,TESTING,0.95,0.95,1306.1,32337156.38,5686.58,0.52,0.62,319,0,0.311
moby,Module_CC,TESTING,0.83,0.83,2.95,271.04,16.46,0.94,0.94,319,0,0.699
moby,Module_EC,TESTING,0.97,0.97,0.91,23.29,4.83,0.96,0.98,319,0,0.683
moby,Module_UC,TESTING,0.89,0.89,18.63,2712.4,52.08,0.62,0.76,319,0,0.311
angular,Line_CC,TESTING,0.82,0.82,6606.94,242391307.24,15568.92,0.4,0.5,411,0,0.241
angular,Line_EC,TESTING,0.91,0.91,1172.25,229357795.33,15144.56,0.82,0.85,411,0,0.585
angular,Line_UC,TESTING,0.92,0.92,2677.74,132968690.08,11531.21,0.6,0.69,411,0,0.381
angular,Module_CC,TESTING,0.86,0.86,36.15,11671.03,108.03,0.51,0.68,411,0,0.241
angular,Module_EC,TESTING,0.03,0.02,19.06,104762.1,323.67,0.88,0.89,411,0,0.585
angular,Module_UC,TESTING,0.96,0.96,30.77,12978.25,113.92,0.61,0.69,411,0,0.381
home-assistant,Line_CC,TESTING,0.33,0.33,107.72,488609.94,699.01,0.86,0.88,560,0,0.635
home-assistant,Line_EC,TESTING,0.42,0.42,7697.05,2776547420.22,52692.95,0.92,0.92,560,0,0.689
home-assistant,Line_UC,TESTING,0.88,0.88,217.29,1535249.01,1239.05,0.89,0.9,560,0,0.661
home-assistant,Module_CC,TESTING,0.08,0.07,1.45,430.0,20.74,0.91,0.93,560,0,0.635
home-assistant,Module_EC,TESTING,0.57,0.57,26.27,23206.93,152.34,0.93,0.94,560,0,0.689
home-assistant,Module_UC,TESTING,0.13,0.12,4.31,1396.87,37.37,0.91,0.93,560,0,0.661
node,Line_CC,TESTING,0.99,0.99,3645.53,94076543.29,9699.31,0.72,0.81,596,0,0.406
node,Line_EC,TESTING,0.99,0.99,1028.96,10070667.65,3173.43,0.84,0.89,596,0,0.505
node,Line_UC,TESTING,0.97,0.97,5602.39,289454314.04,17013.36,0.49,0.59,596,0,0.183
node,Module_CC,TESTING,0.99,0.99,198.05,208195.09,456.28,0.73,0.85,596,0,0.406
node,Module_EC,TESTING,0.99,0.99,90.43,96069.86,309.95,0.82,0.87,596,0,0.505
node,Module_UC,TESTING,0.97,0.97,188.65,272515.11,522.03,0.48,0.61,596,0,0.183
tensorflow,Line_CC,FEATURE,0.23,0.2,44.62,150252.23,387.62,0.9,0.92,106,0,0.639
tensorflow,Line_EC,FEATURE,0.71,0.7,856.47,6081703.07,2466.11,0.75,0.82,106,0,0.519
tensorflow,Line_UC,FEATURE,0.92,0.92,804.86,6914234.23,2629.49,0.69,0.7,106,0,0.491
