Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
kubernetes,Module,BUG,0.66,0.66,444.37,1026946.42,1013.38,0.09,0.19,268,373,0.235
lock,Line,BUG,0.85,0.85,1279.82,26569385.29,5154.55,0.04,0.08,476,16,0.531
lock,Module,BUG,0.38,0.38,82.75,116977.78,342.02,0.03,0.05,476,16,0.531
cli,Line,DOCS,0.41,0.4,49.72,12866.7,113.43,0.02,0.05,91,18,0.609
cli,Module,DOCS,0.88,0.88,1.77,17.88,4.23,0.05,0.08,91,18,0.609
nova,Line,DOCS,0.61,0.6,3268.53,46454454.95,6815.75,0.09,0.14,87,147,0.379
nova,Module,DOCS,0.93,0.93,21.7,2000.59,44.73,0.33,0.46,87,147,0.379
ansible,Line,DOCS,0.72,0.72,148010.64,73354412389.71,270840.2,0.02,0.08,127,176,0.327
ansible,Module,DOCS,0.78,0.77,4837.24,80723883.87,8984.65,0.02,0.07,127,176,0.327
angular.js,Line,DOCS,0.34,0.33,26728.19,3064812769.4,55360.75,0.04,0.11,142,62,0.17
angular.js,Module,DOCS,0.96,0.96,69.9,13282.7,115.25,0.26,0.47,142,62,0.17
orleans,Line,UPGRADE,0.74,0.73,164.56,512650.86,716.0,0.0,0.03,72,42,0.636
orleans,Module,UPGRADE,0.4,0.37,11.26,1939.89,44.04,0.01,0.03,72,42,0.636
kubernetes,Line,DOCS,0.16,0.15,20903.58,859109889.85,29310.58,0.04,0.11,268,373,0.465
kubernetes,Module,DOCS,0.16,0.15,322.02,269275.21,518.92,0.06,0.13,268,373,0.465
lock,Line,DOCS,0.87,0.87,848.91,57107129.94,7556.93,0.0,0.0,476,16,0.672
lock,Module,DOCS,0.54,0.54,0.21,2.05,1.43,0.0,0.0,476,16,0.672
cli,Line,REFACTOR,0.01,-0.01,4233.81,205558804.71,14337.32,0.08,0.19,91,18,0.51
cli,Module,REFACTOR,0.04,0.01,61.15,19106.4,138.23,0.12,0.19,91,18,0.51
nova,Line,REFACTOR,0.97,0.97,398.66,304880.07,552.16,0.32,0.55,87,147,0.431
nova,Module,REFACTOR,0.89,0.89,14.33,472.15,21.73,0.18,0.33,87,147,0.431
ansible,Line,REFACTOR,0.9,0.9,50150.84,17430873200.93,132026.03,0.01,0.02,127,176,0.451
ansible,Module,REFACTOR,0.81,0.81,1919.85,25821512.23,5081.49,0.01,0.02,127,176,0.451
angular.js,Line,REFACTOR,0.58,0.57,4038.33,77588887.64,8808.46,0.06,0.11,142,62,0.32
angular.js,Module,REFACTOR,0.92,0.92,23.43,2430.14,49.3,0.18,0.35,142,62,0.32
orleans,Line,RELEASE,0.83,0.83,15.28,1061.88,32.59,0.0,0.0,72,42,0.606
orleans,Module,RELEASE,0.76,0.75,0.39,0.77,0.87,0.15,0.21,72,42,0.606
kubernetes,Line,REFACTOR,0.4,0.4,3402.65,144224959.5,12009.37,0.11,0.21,268,373,0.488
kubernetes,Module,REFACTOR,0.25,0.24,114.18,156372.94,395.44,0.03,0.1,268,373,0.488
lock,Line,REFACTOR,0.88,0.88,772.79,41125329.5,6412.9,0.0,0.0,476,16,0.675
lock,Module,REFACTOR,0.95,0.95,6.09,2786.03,52.78,0.01,0.01,476,16,0.675
cli,Line,TESTING,0.2,0.18,2537.12,33699522.38,5805.13,0.08,0.24,91,18,0.41
cli,Module,TESTING,0.39,0.37,49.17,9497.33,97.45,0.11,0.21,91,18,0.41
nova,Line,TESTING,0.47,0.46,17726.77,2073951291.53,45540.66,0.09,0.18,87,147,0.325
nova,Module,TESTING,0.6,0.59,274.96,430974.92,656.49,0.15,0.28,87,147,0.325
ansible,Line,TESTING,0.85,0.85,74287.1,15809615435.27,125736.29,0.13,0.17,127,176,0.297
ansible,Module,TESTING,0.9,0.9,3861.32,46482888.6,6817.84,0.12,0.24,127,176,0.297
angular.js,Line,TESTING,0.64,0.63,3691.66,55352178.43,7439.9,0.04,0.08,142,62,0.295
angular.js,Module,TESTING,0.97,0.97,11.54,350.43,18.72,0.35,0.52,142,62,0.295
orleans,Line,SUPPORT,0.9,0.9,893.64,13210921.04,3634.68,0.06,0.07,72,42,0.525
orleans,Module,SUPPORT,0.89,0.89,28.51,14612.0,120.88,0.1,0.12,72,42,0.525
kubernetes,Line,TESTING,0.31,0.3,40301.3,6479511737.85,80495.41,0.03,0.07,268,373,0.286
kubernetes,Module,TESTING,0.59,0.59,282.88,332562.65,576.68,0.14,0.26,268,373,0.286
lock,Line,TESTING,0.39,0.39,4904.25,1325852745.4,36412.26,0.0,0.0,476,16,0.644
lock,Module,TESTING,0.2,0.19,74.08,266528.31,516.26,0.0,0.0,476,16,0.644
cli,Line,FEATURE,0.84,0.84,405.14,5142145.69,2267.63,0.0,0.0,91,18,0.63
cli,Module,FEATURE,0.58,0.57,26.84,38191.5,195.43,0.0,0.03,91,18,0.63
nova,Line,FEATURE,0.47,0.46,261.73,155815.89,394.74,0.09,0.11,87,147,0.52
nova,Module,FEATURE,0.61,0.6,6.75,121.24,11.01,0.13,0.22,87,147,0.52
ansible,Line,FEATURE,0.81,0.81,12314.02,888838993.55,29813.4,0.08,0.13,127,176,0.484
ansible,Module,FEATURE,0.97,0.97,107.94,80616.89,283.93,0.14,0.16,127,176,0.484
angular.js,Line,FEATURE,0.86,0.86,3403.59,39518689.54,6286.39,0.1,0.18,142,62,0.357
angular.js,Module,FEATURE,0.86,0.86,37.07,8366.14,91.47,0.27,0.41,142,62,0.357
orleans,Line,OTHER,0.91,0.91,12055.85,3040495297.29,55140.69,0.11,0.17,72,42,0.355
orleans,Module,OTHER,0.95,0.95,709.35,13771719.29,3711.03,0.06,0.1,72,42,0.355
kubernetes,Line,FEATURE,0.28,0.27,1405.07,13391672.57,3659.46,0.04,0.07,268,373,0.52
kubernetes,Module,FEATURE,0.41,0.4,50.64,11906.87,109.12,0.03,0.09,268,373,0.52
lock,Line,FEATURE,0.23,0.23,2232.72,243483456.87,15603.96,0.0,0.0,476,16,0.674
lock,Module,FEATURE,0.23,0.23,75.56,257407.42,507.35,0.0,0.0,476,16,0.674
cli,Line,UPGRADE,0.46,0.45,2200.5,75555747.21,8692.28,0.01,0.01,91,18,0.522
cli,Module,UPGRADE,0.51,0.49,29.8,10688.49,103.39,0.05,0.11,91,18,0.522
nova,Line,UPGRADE,0.69,0.68,1190.66,5338295.06,2310.48,0.15,0.2,87,147,0.486
nova,Module,UPGRADE,0.88,0.88,10.21,315.08,17.75,0.08,0.25,87,147,0.486
ansible,Line,UPGRADE,0.54,0.53,3529.36,92356693.05,9610.24,0.11,0.17,127,176,0.375
ansible,Module,UPGRADE,0.95,0.95,39.82,5872.51,76.63,0.13,0.3,127,176,0.375
angular.js,Line,UPGRADE,0.41,0.4,6120.66,102330917.17,10115.87,0.01,0.01,142,62,0.503
angular.js,Module,UPGRADE,0.5,0.49,19.49,999.87,31.62,0.01,0.02,142,62,0.503
kubernetes,Line,UPGRADE,0.42,0.42,3432.8,92903449.56,9638.64,0.05,0.06,268,373,0.381
kubernetes,Module,UPGRADE,0.52,0.51,52.86,19412.92,139.33,0.09,0.17,268,373,0.381
lock,Line,UPGRADE,0.14,0.14,6218.4,3392697349.07,58246.87,0.0,0.0,476,16,0.668
lock,Module,UPGRADE,0.37,0.37,44.41,169714.93,411.96,0.0,0.0,476,16,0.668
nova,Line,RELEASE,0.4,0.39,1544.22,11211061.7,3348.29,0.03,0.08,87,147,0.402
nova,Module,RELEASE,0.92,0.92,3.22,39.64,6.3,0.52,0.71,87,147,0.402
cli,Line,RELEASE,0.38,0.37,54.53,19608.41,140.03,0.04,0.11,91,18,0.577
cli,Module,RELEASE,0.46,0.44,2.02,28.56,5.34,0.08,0.22,91,18,0.577
ansible,Line,RELEASE,0.68,0.67,685.73,1300200.71,1140.26,0.25,0.37,127,176,0.334
ansible,Module,RELEASE,0.98,0.98,8.56,279.94,16.73,0.64,0.69,127,176,0.334
angular.js,Line,RELEASE,0.68,0.68,124.3,45991.97,214.46,0.06,0.17,142,62,0.466
angular.js,Module,RELEASE,0.89,0.89,3.3,39.7,6.3,0.18,0.43,142,62,0.466
kubernetes,Line,RELEASE,0.09,0.08,17113.76,1130622739.54,33624.73,0.03,0.08,268,373,0.278
kubernetes,Module,RELEASE,0.14,0.13,144.5,58397.21,241.66,0.01,0.04,268,373,0.278
lock,Line,RELEASE,0.09,0.09,768.46,19923398.18,4463.56,0.03,0.06,476,16,0.541
lock,Module,RELEASE,0.96,0.96,28.98,13696.78,117.03,0.09,0.13,476,16,0.541
nova,Line,SUPPORT,0.71,0.7,5110.05,174288602.6,13201.84,0.1,0.15,87,147,0.408
