Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
nova,Line,REFACTOR,1.0,1.0,176.24,244746.68,494.72,0.88,0.95,87,147,0.431
nova,Module,REFACTOR,1.0,1.0,6.82,505.25,22.48,0.81,0.83,87,147,0.431
lock,Line,DOCS,1.0,1.0,13.7,16230.94,127.4,0.45,0.45,476,16,0.672
lock,Module,DOCS,1.0,1.0,0.06,0.38,0.62,0.36,0.36,476,16,0.672
angular.js,Line,REFACTOR,1.0,1.0,3332.42,58312462.82,7636.26,0.25,0.4,142,62,0.32
angular.js,Module,REFACTOR,1.0,1.0,53.23,28294.35,168.21,0.27,0.46,142,62,0.32
orleans,Line,TESTING,1.0,1.0,744.83,4743697.97,2178.0,0.42,0.53,72,42,0.498
orleans,Module,TESTING,1.0,1.0,48.06,28447.47,168.66,0.53,0.63,72,42,0.498
kubernetes,Line,DOCS,1.0,1.0,7733.39,406517144.65,20162.27,0.45,0.48,268,373,0.465
kubernetes,Module,DOCS,1.0,1.0,113.09,104960.17,323.98,0.44,0.53,268,373,0.465
cli,Line,TESTING,1.0,1.0,2324.67,34073405.04,5837.24,0.18,0.27,91,18,0.41
cli,Module,TESTING,1.0,1.0,45.27,10987.41,104.82,0.27,0.45,91,18,0.41
ansible,Line,TESTING,1.0,1.0,37112.51,16684997272.12,129170.42,0.47,0.57,127,176,0.297
ansible,Module,TESTING,1.0,1.0,1671.57,40253065.5,6344.53,0.6,0.69,127,176,0.297
nova,Line,TESTING,1.0,1.0,11421.64,2534750640.2,50346.31,0.64,0.74,87,147,0.325
nova,Module,TESTING,1.0,1.0,157.99,549697.64,741.42,0.69,0.83,87,147,0.325
lock,Line,REFACTOR,1.0,1.0,228.45,2831512.17,1682.71,0.0,0.0,476,16,0.675
lock,Module,REFACTOR,1.0,1.0,1.27,93.11,9.65,0.0,0.0,476,16,0.675
angular.js,Line,TESTING,1.0,1.0,5229.55,95750837.73,9785.24,0.19,0.24,142,62,0.295
angular.js,Module,TESTING,1.0,1.0,15.85,939.27,30.65,0.47,0.71,142,62,0.295
orleans,Line,FEATURE,1.0,1.0,36.29,65491.21,255.91,0.75,0.75,72,42,0.665
orleans,Module,FEATURE,1.0,1.0,2.92,419.39,20.48,0.75,0.75,72,42,0.665
kubernetes,Line,REFACTOR,1.0,1.0,3030.93,328225677.37,18117.0,0.59,0.75,268,373,0.488
kubernetes,Module,REFACTOR,1.0,1.0,95.31,324240.88,569.42,0.49,0.56,268,373,0.488
cli,Line,FEATURE,1.0,1.0,117.12,325866.73,570.85,0.0,0.1,91,18,0.63
cli,Module,FEATURE,1.0,1.0,8.89,1145.99,33.85,0.0,0.05,91,18,0.63
ansible,Line,FEATURE,1.0,1.0,5248.87,637099554.82,25240.83,0.57,0.6,127,176,0.484
ansible,Module,FEATURE,1.0,1.0,23.51,19482.17,139.58,0.68,0.75,127,176,0.484
nova,Line,FEATURE,1.0,1.0,99.92,203319.76,450.91,0.73,0.82,87,147,0.52
nova,Module,FEATURE,1.0,1.0,2.84,158.36,12.58,0.77,0.85,87,147,0.52
