Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
tensorflow,Module,RELEASE,0.93,0.93,47.57,12995.56,114.0,0.14,0.26,106,0,0.366
node,Line,RELEASE,0.95,0.95,216.66,141676.17,376.4,0.26,0.34,596,0,0.409
node,Module,RELEASE,0.95,0.95,7.16,140.15,11.84,0.22,0.35,596,0,0.409
nova,Line,BUG,0.79,0.79,29420.9,4240109738.17,65116.13,0.17,0.28,234,0,0.198
nova,Module,BUG,0.97,0.97,289.21,1033062.71,1016.4,0.37,0.58,234,0,0.198
ansible,Line,SUPPORT,1.0,1.0,7084.75,314383128.34,17730.85,0.19,0.24,303,0,0.381
ansible,Module,SUPPORT,1.0,1.0,151.73,247201.2,497.19,0.25,0.36,303,0,0.381
orleans,Line,SUPPORT,0.98,0.98,543.33,1161123.61,1077.55,0.1,0.22,114,0,0.498
orleans,Module,SUPPORT,0.99,0.99,18.02,2273.58,47.68,0.21,0.31,114,0,0.498
cli,Line,RELEASE,0.95,0.95,50.63,10301.65,101.5,0.03,0.11,109,0,0.582
cli,Module,RELEASE,0.97,0.97,1.18,8.95,2.99,0.31,0.46,109,0,0.582
gitlabhq,Line,OTHER,0.76,0.76,47298.85,9097844171.65,95382.62,0.06,0.13,1154,0,0.25
gitlabhq,Module,OTHER,0.96,0.96,553.19,4258218.45,2063.55,0.24,0.41,1154,0,0.25
home-assistant,Line,OTHER,0.82,0.82,15957.84,2844823875.35,53336.89,0.08,0.14,560,0,0.373
home-assistant,Module,OTHER,0.83,0.83,1377.1,31240278.13,5589.3,0.04,0.08,560,0,0.373
moby,Line,SUPPORT,0.97,0.97,1182.47,18735862.1,4328.49,0.05,0.08,319,0,0.558
moby,Module,SUPPORT,0.95,0.95,17.74,3497.9,59.14,0.08,0.16,319,0,0.558
roslyn,Line,OTHER,0.99,0.99,396294.24,906592614546.64,952151.57,0.08,0.22,102,0,0.307
roslyn,Module,OTHER,0.99,0.99,7967.56,981821705.38,31334.03,0.13,0.23,102,0,0.307
angular,Line,OTHER,0.88,0.88,61522.0,20162952847.61,141996.31,0.04,0.1,411,0,0.305
angular,Module,OTHER,0.68,0.68,404.61,421834.62,649.49,0.11,0.23,411,0,0.305
nova,Line,DOCS,0.82,0.82,3930.71,82305144.32,9072.22,0.05,0.15,234,0,0.394
nova,Module,DOCS,0.93,0.93,37.65,8819.83,93.91,0.18,0.29,234,0,0.394
ansible,Line,OTHER,0.98,0.98,179317.39,205195844756.03,452985.48,0.25,0.31,303,0,0.202
ansible,Module,OTHER,0.99,0.99,3426.12,56087829.12,7489.18,0.28,0.35,303,0,0.202
neutron,Line,SUPPORT,0.91,0.91,3347.94,34375486.83,5863.06,0.11,0.21,203,0,0.437
neutron,Module,SUPPORT,0.97,0.97,38.94,5325.25,72.97,0.25,0.42,203,0,0.437
cli,Line,SUPPORT,0.87,0.86,1312.92,8160429.94,2856.65,0.06,0.15,109,0,0.524
cli,Module,SUPPORT,0.85,0.84,12.52,519.4,22.79,0.13,0.29,109,0,0.524
tensorflow,Line,SUPPORT,0.99,0.99,7085.54,301635707.65,17367.66,0.17,0.3,106,0,0.418
tensorflow,Module,SUPPORT,0.99,0.99,135.91,181961.62,426.57,0.19,0.3,106,0,0.418
orleans,Line,OTHER,0.96,0.96,19564.77,1984572534.74,44548.54,0.11,0.21,114,0,0.297
orleans,Module,OTHER,0.98,0.98,722.3,3049051.21,1746.15,0.11,0.15,114,0,0.297
moby,Line,OTHER,0.94,0.94,29349.79,6120600121.27,78234.26,0.1,0.17,319,0,0.434
moby,Module,OTHER,0.96,0.96,348.92,1143896.73,1069.53,0.18,0.3,319,0,0.434
node,Line,SUPPORT,0.87,0.87,6426.69,114433122.4,10697.34,0.05,0.11,596,0,0.403
node,Module,SUPPORT,0.97,0.97,31.58,1697.98,41.21,0.25,0.35,596,0,0.403
nova,Line,REFACTOR,0.94,0.94,2432.22,52885897.18,7272.27,0.12,0.22,234,0,0.41
nova,Module,REFACTOR,0.91,0.91,80.79,52100.37,228.26,0.12,0.23,234,0,0.41
kubernetes,Line,BUG,0.68,0.68,40783.42,13438771840.51,115925.72,0.07,0.13,641,0,0.36
kubernetes,Module,BUG,0.69,0.69,671.05,2520936.9,1587.75,0.07,0.15,641,0,0.36
neutron,Line,OTHER,0.88,0.88,237630.89,481476196540.05,693884.86,0.07,0.13,203,0,0.279
neutron,Module,OTHER,0.97,0.97,831.82,2312648.64,1520.74,0.25,0.45,203,0,0.279
nova,Line,TESTING,0.83,0.83,33943.57,7846692422.61,88581.56,0.12,0.23,234,0,0.301
nova,Module,TESTING,0.82,0.82,561.5,1833916.6,1354.22,0.13,0.25,234,0,0.301
mesos,Line,BUG,0.98,0.98,761.17,3299179.27,1816.36,0.2,0.32,257,0,0.404
mesos,Module,BUG,0.99,0.99,21.38,1322.35,36.36,0.25,0.34,257,0,0.404
angular.js,Line,BUG,0.99,0.99,12806.83,947625907.27,30783.53,0.19,0.3,204,0,0.127
angular.js,Module,BUG,0.98,0.98,302.23,336155.12,579.79,0.23,0.34,204,0,0.127
lock,Line,BUG,0.86,0.86,4351.19,236560375.29,15380.52,0.03,0.05,492,0,0.527
lock,Module,BUG,0.76,0.76,118.62,56481.67,237.66,0.04,0.05,492,0,0.527
tensorflow,Line,OTHER,0.93,0.93,525591.77,1371877664811.81,1171271.82,0.05,0.1,106,0,0.156
tensorflow,Module,OTHER,0.96,0.96,6299.24,268218989.63,16377.39,0.11,0.16,106,0,0.156
node,Line,OTHER,0.96,0.96,313036.47,296470797519.41,544491.32,0.24,0.37,596,0,0.271
node,Module,OTHER,0.98,0.98,3008.2,18886693.66,4345.88,0.26,0.37,596,0,0.271
kubernetes,Line,DOCS,0.6,0.6,10343.76,369772934.35,19229.48,0.23,0.28,641,0,0.495
kubernetes,Module,DOCS,0.67,0.67,164.03,128937.46,359.08,0.22,0.29,641,0,0.495
cli,Line,OTHER,0.88,0.88,120910.91,63328517117.27,251651.58,0.07,0.14,109,0,0.337
cli,Module,OTHER,0.75,0.74,635.8,1151080.9,1072.88,0.19,0.26,109,0,0.337
lock,Line,DOCS,1.0,1.0,44.46,77394.0,278.2,0.97,0.97,492,0,0.67
lock,Module,DOCS,1.0,1.0,0.15,1.2,1.1,0.97,0.97,492,0,0.67
Odin,Line,BUG,0.96,0.95,1135.81,2428078.75,1558.23,0.2,0.37,35,0,0.422
Odin,Module,BUG,0.99,0.99,30.11,3056.47,55.29,0.23,0.49,35,0,0.422
nova,Line,FEATURE,0.89,0.89,286.61,455108.21,674.62,0.05,0.13,234,0,0.538
nova,Module,FEATURE,0.87,0.87,9.3,392.14,19.8,0.09,0.17,234,0,0.538
kubernetes,Line,REFACTOR,0.87,0.87,4290.57,263172544.87,16222.59,0.08,0.17,641,0,0.502
kubernetes,Module,REFACTOR,0.86,0.86,155.21,302373.13,549.88,0.05,0.11,641,0,0.502
react,Line,BUG,0.99,0.99,176963.83,502274249374.15,708713.09,0.02,0.04,130,0,0.245
react,Module,BUG,1.0,1.0,953.36,12765914.13,3572.94,0.02,0.12,130,0,0.245
Odin,Line,DOCS,1.0,1.0,23.49,11504.06,107.26,0.94,0.94,35,0,0.669
Odin,Module,DOCS,1.0,1.0,0.29,1.94,1.39,0.94,0.94,35,0,0.669
mesos,Line,DOCS,0.94,0.94,767.27,3122804.74,1767.15,0.07,0.12,257,0,0.518
mesos,Module,DOCS,0.99,0.99,10.97,1033.94,32.15,0.1,0.13,257,0,0.518
nixpkgs,Line,BUG,0.97,0.97,8513.05,387743993.46,19691.22,0.05,0.15,93,0,0.342
nixpkgs,Module,BUG,1.0,1.0,230.85,579102.39,760.99,0.24,0.4,93,0,0.342
lock,Line,REFACTOR,0.99,0.99,207.69,1679825.94,1296.08,0.96,0.97,492,0,0.673
lock,Module,REFACTOR,1.0,1.0,1.14,55.0,7.42,0.96,0.97,492,0,0.673
Odin,Line,REFACTOR,1.0,1.0,58.2,113653.86,337.13,0.94,0.94,35,0,0.669
Odin,Module,REFACTOR,1.0,1.0,0.51,5.54,2.35,0.94,0.94,35,0,0.669
angular.js,Line,DOCS,0.94,0.94,33865.96,5598897845.3,74825.78,0.06,0.11,204,0,0.154
angular.js,Module,DOCS,0.97,0.97,152.67,81579.42,285.62,0.18,0.34,204,0,0.154
brew,Line,BUG,0.99,0.99,890.02,15855996.35,3981.96,0.05,0.11,152,0,0.315
brew,Module,BUG,0.96,0.96,67.8,39372.24,198.42,0.01,0.13,152,0,0.315
react,Line,DOCS,1.0,1.0,72015.22,255342529539.5,505314.29,0.06,0.08,130,0,0.415
react,Module,DOCS,1.0,1.0,867.08,40923398.46,6397.14,0.05,0.14,130,0,0.415
nova,Line,UPGRADE,0.94,0.94,961.82,4845313.77,2201.21,0.1,0.13,234,0,0.49
nova,Module,UPGRADE,0.93,0.93,11.87,680.92,26.09,0.08,0.16,234,0,0.49
elasticsearch,Line,BUG,1.0,1.0,51434.55,13731061092.68,117179.61,0.21,0.31,270,0,0.259
elasticsearch,Module,BUG,1.0,1.0,2601.32,28725979.52,5359.66,0.2,0.35,270,0,0.259
kubernetes,Line,TESTING,0.74,0.74,48082.38,12045092168.39,109750.14,0.06,0.14,641,0,0.388
kubernetes,Module,TESTING,0.62,0.62,462.39,575482.99,758.61,0.08,0.16,641,0,0.388
mesos,Line,REFACTOR,0.97,0.97,504.69,1568086.8,1252.23,0.08,0.16,257,0,0.544
mesos,Module,REFACTOR,0.98,0.98,5.38,161.36,12.7,0.14,0.18,257,0,0.544
