Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
npm,Line,UPGRADE,1.0,1.0,3243.52,225000986.55,15000.03,0.63,0.68,591,0,0.532
npm,Module,UPGRADE,1.0,1.0,53.35,60701.54,246.38,0.64,0.74,591,0,0.532
medium-editor,Line,UPGRADE,1.0,1.0,3.61,397.9,19.95,0.95,0.96,150,0,0.658
medium-editor,Module,UPGRADE,1.0,1.0,0.35,4.83,2.2,0.95,0.96,150,0,0.658
selenium,Line,FEATURE,1.0,1.0,113.39,563130.87,750.42,0.82,0.84,123,0,0.63
selenium,Module,FEATURE,1.0,1.0,2.78,250.66,15.83,0.83,0.85,123,0,0.63
superagent,Line,RELEASE,1.0,1.0,22.6,6750.44,82.16,0.3,0.36,135,0,0.576
superagent,Module,RELEASE,1.0,1.0,0.54,2.0,1.42,0.3,0.5,135,0,0.576
jest,Line,SUPPORT,1.0,1.0,4331.25,565820509.82,23786.98,0.77,0.78,180,0,0.598
jest,Module,SUPPORT,1.0,1.0,35.66,25458.67,159.56,0.78,0.82,180,0,0.598
pandoc,Line,UPGRADE,1.0,1.0,42.74,13705.19,117.07,0.62,0.66,136,0,0.575
pandoc,Module,UPGRADE,1.0,1.0,1.17,31.01,5.57,0.79,0.88,136,0,0.575
mongoose,Line,UPGRADE,1.0,1.0,41.6,54161.4,232.73,0.86,0.87,582,0,0.643
mongoose,Module,UPGRADE,1.0,1.0,0.97,15.66,3.96,0.88,0.9,582,0,0.643
keystone,Line,UPGRADE,1.0,1.0,21.91,34077.61,184.6,0.97,0.98,1504,0,0.675
keystone,Module,UPGRADE,1.0,1.0,0.67,30.32,5.51,0.98,0.98,1504,0,0.675
swagger-ui,Line,UPGRADE,1.0,1.0,526.28,17184568.84,4145.43,0.97,0.97,189,0,0.675
swagger-ui,Module,UPGRADE,1.0,1.0,2.13,280.47,16.75,0.97,0.97,189,0,0.675
webtorrent,Line,SUPPORT,1.0,1.0,6.79,525.52,22.92,0.8,0.83,306,0,0.642
webtorrent,Module,SUPPORT,1.0,1.0,0.15,0.22,0.47,0.87,0.92,306,0,0.642
browser-sync,Line,REFACTOR,1.0,1.0,16.13,6562.82,81.01,0.95,0.95,219,0,0.668
browser-sync,Module,REFACTOR,1.0,1.0,0.47,6.47,2.54,0.95,0.96,219,0,0.668
devise,Line,OTHER,1.0,1.0,995.58,6992084.2,2644.25,0.15,0.35,134,0,0.295
devise,Module,OTHER,1.0,1.0,73.21,29592.52,172.02,0.31,0.55,134,0,0.295
npm,Line,RELEASE,1.0,1.0,6.57,1201.76,34.67,0.96,0.96,591,0,0.629
npm,Module,RELEASE,1.0,1.0,0.07,0.08,0.28,0.98,0.99,591,0,0.629
medium-editor,Line,RELEASE,1.0,1.0,1.59,49.03,7.0,0.95,0.97,150,0,0.645
medium-editor,Module,RELEASE,1.0,1.0,0.08,0.15,0.39,0.98,0.98,150,0,0.645
selenium,Line,UPGRADE,1.0,1.0,1201.84,33364117.75,5776.17,0.55,0.59,123,0,0.551
selenium,Module,UPGRADE,1.0,1.0,6.98,631.05,25.12,0.61,0.72,123,0,0.551
superagent,Line,SUPPORT,1.0,1.0,255.43,1313753.72,1146.19,0.75,0.78,135,0,0.608
superagent,Module,SUPPORT,1.0,1.0,0.84,7.31,2.7,0.79,0.87,135,0,0.608
pandoc,Line,RELEASE,1.0,1.0,30.21,14872.04,121.95,0.76,0.79,136,0,0.61
pandoc,Module,RELEASE,1.0,1.0,0.34,1.58,1.26,0.87,0.93,136,0,0.61
jest,Line,OTHER,1.0,1.0,44245.33,21371403753.1,146189.62,0.07,0.2,180,0,0.274
jest,Module,OTHER,1.0,1.0,1800.47,38162625.03,6177.59,0.12,0.21,180,0,0.274
swagger-ui,Line,RELEASE,1.0,1.0,6346.31,1877736687.8,43332.86,0.72,0.74,189,0,0.61
swagger-ui,Module,RELEASE,1.0,1.0,10.32,2124.28,46.09,0.8,0.92,189,0,0.61
keystone,Line,RELEASE,1.0,1.0,28.18,91635.65,302.71,0.95,0.95,1504,0,0.67
keystone,Module,RELEASE,1.0,1.0,3.2,1179.74,34.35,0.95,0.95,1504,0,0.67
browser-sync,Line,TESTING,1.0,1.0,110.74,335358.17,579.1,0.81,0.82,219,0,0.626
browser-sync,Module,TESTING,1.0,1.0,2.93,195.91,14.0,0.81,0.83,219,0,0.626
webtorrent,Line,OTHER,1.0,1.0,240.41,981088.69,990.5,0.17,0.35,306,0,0.441
webtorrent,Module,OTHER,1.0,1.0,5.73,310.02,17.61,0.43,0.74,306,0,0.441
npm,Line,SUPPORT,1.0,1.0,40.06,17156.72,130.98,0.79,0.84,591,0,0.581
npm,Module,SUPPORT,1.0,1.0,1.48,47.34,6.88,0.82,0.9,591,0,0.581
mongoose,Line,RELEASE,1.0,1.0,3471.57,250734520.05,15834.6,0.36,0.51,582,0,0.453
mongoose,Module,RELEASE,1.0,1.0,8.6,1821.34,42.68,0.58,0.91,582,0,0.453
medium-editor,Line,SUPPORT,1.0,1.0,124.65,280388.91,529.52,0.85,0.85,150,0,0.628
medium-editor,Module,SUPPORT,1.0,1.0,2.3,140.06,11.83,0.86,0.87,150,0,0.628
