,Project,Model,Task,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
0,nova,Line,UPGRADE,290.51,123011.58,350.73,0.13,0.2,986
0,nova,Module,BUG,82.02,14660.06,121.08,0.62,0.95,2516
0,nova,Module,DOCS,20.09,1235.47,35.15,0.12,0.4,1649
0,nova,Module,FEATURE,9.73,138.16,11.75,0.39,0.61,1207
0,nova,Module,OTHER,171.36,68854.13,262.4,0.65,0.79,2261
0,nova,Module,REFACTOR,38.19,3010.83,54.87,0.33,0.6,2040
0,nova,Module,RELEASE,6.19,81.89,9.05,0.33,0.85,1802
0,nova,Module,SUPPORT,53.57,6192.1,78.69,0.19,0.48,2091
0,nova,Module,TESTING,24.02,1819.12,42.65,0.31,0.62,1938
0,nova,Module,UPGRADE,4.51,28.82,5.37,0.2,0.4,986
0,react,Line,BUG,9237.25,127057038.48,11271.96,0.55,0.55,1326
0,react,Module,BUG,53.43,7434.38,86.22,0.6,0.75,1326
0,roslyn,Line,BUG,7987.95,124133218.98,11141.51,0.09,0.27,714
0,roslyn,Module,BUG,541.53,578700.4,760.72,0.27,0.36,714
0,tensorflow,Line,BUG,3599.6,36371228.05,6030.86,0.24,0.47,1156
0,tensorflow,Line,DOCS,6452.31,53648049.6,7324.48,0.1,0.7,629
0,tensorflow,Line,FEATURE,3511.94,26172558.11,5115.91,0.0,0.25,493
0,tensorflow,Line,OTHER,34697.42,2703520984.74,51995.39,0.17,0.28,1207
0,tensorflow,Line,REFACTOR,4296.81,23105857.75,4806.86,0.25,0.75,544
0,tensorflow,Line,RELEASE,2011.73,5613371.24,2369.26,0.0,0.0,833
0,tensorflow,Line,SUPPORT,2543.73,10519064.6,3243.31,0.8,0.8,663
0,tensorflow,Line,TESTING,8243.57,124793757.27,11171.11,0.15,0.46,867
0,tensorflow,Line,UPGRADE,2991.87,12882500.69,3589.22,0.08,0.08,765
0,tensorflow,Module,BUG,411.35,245004.16,494.98,0.18,0.41,1156
0,tensorflow,Module,DOCS,217.56,64047.1,253.08,0.0,0.6,629
0,tensorflow,Module,FEATURE,28.84,2235.44,47.28,0.5,0.62,493
0,tensorflow,Module,OTHER,2829.26,14089413.9,3753.59,0.17,0.28,1207
0,tensorflow,Module,REFACTOR,115.21,19404.09,139.3,0.12,0.25,544
0,tensorflow,Module,RELEASE,20.25,826.81,28.75,0.31,0.85,833
0,tensorflow,Module,SUPPORT,82.17,12212.26,110.51,0.7,0.8,663
0,tensorflow,Module,TESTING,192.73,85169.76,291.84,0.38,0.46,867
0,tensorflow,Module,UPGRADE,18.93,469.39,21.67,0.17,0.58,765
