,Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
0,cf-deployment,Line,FEATURE,-inf,,10.57,111.64,10.57,0.0,1.0,2
0,cf-deployment,Line,OTHER,0.36,0.35,965.82,1965561.09,1401.98,0.09,0.26,139
0,cf-deployment,Line,REFACTOR,1.0,1.0,468.23,233089.0,482.79,0.0,0.0,5
0,cf-deployment,Line,RELEASE,0.3,0.28,796.86,9294587.26,3048.7,0.29,0.43,140
0,cf-deployment,Line,SUPPORT,0.55,0.49,169.65,76556.19,276.69,0.43,0.57,25
0,cf-deployment,Line,TESTING,0.07,0.03,1110.14,13663067.95,3696.36,0.05,0.15,79
0,cf-deployment,Line,UPGRADE,0.48,0.22,52.25,4847.44,69.62,0.0,0.5,8
0,cf-deployment,Module,BUG,0.88,0.87,4.4,39.84,6.31,0.44,0.88,64
0,cf-deployment,Module,DOCS,0.51,0.35,1.28,2.73,1.65,0.5,0.75,16
0,cf-deployment,Module,FEATURE,-inf,,1.28,1.63,1.28,0.0,1.0,2
0,cf-deployment,Module,OTHER,0.89,0.88,20.29,675.87,26.0,0.17,0.37,139
0,cf-deployment,Module,REFACTOR,1.0,,26.75,728.37,26.99,0.0,0.0,5
0,cf-deployment,Module,RELEASE,0.96,0.95,6.09,91.12,9.55,0.69,0.94,140
0,cf-deployment,Module,SUPPORT,0.99,0.99,3.44,51.65,7.19,0.86,1.0,25
0,cf-deployment,Module,TESTING,0.85,0.84,10.03,429.17,20.72,0.2,0.65,79
0,cf-deployment,Module,UPGRADE,0.88,0.76,0.7,0.74,0.86,0.5,1.0,8
0,cinder,Line,BUG,0.17,0.16,36446.47,8128065400.1,90155.78,0.02,0.1,158
0,cinder,Line,DOCS,0.98,0.98,943.97,1794692.04,1339.66,0.33,0.48,82
0,cinder,Line,FEATURE,0.82,0.81,1144.33,3063166.43,1750.19,0.2,0.4,57
0,cinder,Line,OTHER,0.48,0.47,309062.27,511706577740.12,715336.69,0.1,0.17,161
0,cinder,Line,REFACTOR,0.8,0.8,7820.76,83175411.05,9120.06,0.25,0.25,61
0,cinder,Line,RELEASE,0.35,0.33,1641.88,5891787.15,2427.3,0.05,0.05,80
0,cinder,Line,SUPPORT,0.95,0.94,3492.11,22267183.29,4718.81,0.32,0.39,122
0,cinder,Line,TESTING,0.86,0.85,3641.39,29651140.72,5445.29,0.23,0.45,121
0,cinder,Line,UPGRADE,0.64,0.63,531.07,656587.74,810.3,0.4,0.45,80
0,cinder,Module,BUG,0.96,0.96,103.07,26615.62,163.14,0.68,0.85,158
0,cinder,Module,DOCS,0.95,0.95,25.63,1798.7,42.41,0.48,0.62,82
0,cinder,Module,FEATURE,0.85,0.84,18.69,514.68,22.69,0.07,0.4,57
0,cinder,Module,OTHER,0.98,0.98,365.87,355502.71,596.24,0.49,0.73,161
0,cinder,Module,REFACTOR,0.87,0.86,31.58,1723.41,41.51,0.25,0.56,61
0,cinder,Module,RELEASE,0.77,0.76,19.16,589.84,24.29,0.25,0.5,80
0,cinder,Module,SUPPORT,0.98,0.97,44.76,4959.16,70.42,0.39,0.81,122
0,cinder,Module,TESTING,0.69,0.68,161.96,68565.16,261.85,0.13,0.45,121
0,cinder,Module,UPGRADE,0.77,0.76,14.92,353.26,18.8,0.2,0.6,80
0,cli,Line,BUG,0.57,0.53,381.43,265169.95,514.95,0.25,0.5,32
0,cli,Line,DOCS,0.63,0.51,95.36,9273.07,96.3,0.0,0.0,11
0,cli,Line,FEATURE,0.91,0.88,1151.86,3625141.23,1903.98,0.67,1.0,10
0,cli,Line,OTHER,0.09,0.02,100445.09,14208443149.51,119199.17,0.0,0.0,36
0,cli,Line,REFACTOR,0.67,0.63,2721.14,18233959.56,4270.12,0.43,0.57,25
0,cli,Line,RELEASE,0.65,0.55,350.73,370667.11,608.82,0.25,0.5,13
0,cli,Line,SUPPORT,0.71,0.67,970.64,1324442.96,1150.84,0.17,0.17,21
0,cli,Line,TESTING,0.84,0.83,103111.0,85462084674.37,292338.99,0.11,0.44,33
0,cli,Line,UPGRADE,0.8,0.77,7985.86,163586279.67,12790.09,0.0,0.17,21
0,cli,Module,BUG,0.66,0.61,9.99,131.25,11.46,0.38,0.75,32
0,cli,Module,DOCS,0.74,0.59,13.47,223.28,14.94,0.33,0.33,11
0,cli,Module,FEATURE,0.99,0.98,18.81,971.23,31.16,0.67,1.0,10
0,cli,Module,OTHER,0.5,0.44,720.17,883035.4,939.7,0.11,0.44,36
0,cli,Module,REFACTOR,0.77,0.73,70.04,14365.96,119.86,0.43,0.57,25
0,cli,Module,RELEASE,0.84,0.75,21.02,1208.32,34.76,0.25,0.5,13
0,cli,Module,SUPPORT,0.84,0.8,38.02,2114.59,45.98,0.17,0.33,21
0,cli,Module,TESTING,0.9,0.89,558.57,1571448.84,1253.57,0.11,0.44,33
0,cli,Module,UPGRADE,0.93,0.91,98.53,28403.9,168.53,0.0,0.33,21
0,core-js,Line,BUG,0.68,0.68,8118.39,104140979.2,10204.95,0.0,0.07,116
0,core-js,Line,DOCS,0.78,0.72,53.85,3369.89,58.05,0.5,0.5,13
0,core-js,Line,FEATURE,0.94,0.94,2363.07,8631178.88,2937.89,0.4,0.8,20
0,core-js,Line,OTHER,0.56,0.55,15694.51,429105558.39,20714.86,0.03,0.14,141
0,core-js,Line,REFACTOR,1.0,1.0,2411.46,23046510.86,4800.68,0.8,0.8,17
0,core-js,Line,RELEASE,-inf,-inf,558.0,311364.0,558.0,0.0,0.0,3
0,core-js,Line,SUPPORT,0.1,0.01,309.62,299290.94,547.07,0.44,0.56,33
0,core-js,Line,TESTING,0.5,0.47,25816.16,775372484.78,27845.51,0.0,0.0,56
0,core-js,Line,UPGRADE,0.93,0.91,20.03,542.64,23.29,0.2,0.2,18
0,core-js,Module,BUG,0.72,0.71,435.6,304489.67,551.81,0.03,0.1,116
0,core-js,Module,DOCS,1.0,1.0,0.4,0.46,0.68,0.75,0.75,13
0,core-js,Module,FEATURE,0.9,0.88,352.83,140365.67,374.65,0.2,0.6,20
0,core-js,Module,OTHER,0.57,0.55,1184.51,2348151.63,1532.37,0.0,0.06,141
