Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
gitlabhq,Module,RELEASE,1.0,1.0,3.28,185.45,13.62,0.77,0.84,1154,0,0.575
nixpkgs,Line,BUG,1.0,1.0,7912.5,352518395.8,18775.47,0.27,0.34,93,0,0.342
nixpkgs,Module,BUG,1.0,1.0,243.8,715909.84,846.11,0.49,0.68,93,0,0.342
angular,Line,OTHER,1.0,1.0,49686.09,20024823909.38,141509.09,0.13,0.23,411,0,0.305
angular,Module,OTHER,1.0,1.0,277.96,332317.72,576.47,0.25,0.45,411,0,0.305
lock,Line,DOCS,1.0,1.0,31.9,41708.55,204.23,0.97,0.98,492,0,0.67
lock,Module,DOCS,1.0,1.0,0.14,1.08,1.04,0.97,0.97,492,0,0.67
nova,Line,DOCS,1.0,1.0,3270.26,66007293.2,8124.49,0.48,0.56,234,0,0.394
nova,Module,DOCS,1.0,1.0,29.11,7675.48,87.61,0.65,0.75,234,0,0.394
react,Line,BUG,1.0,1.0,145622.47,289042207310.77,537626.46,0.18,0.24,130,0,0.245
react,Module,BUG,1.0,1.0,607.46,10422197.43,3228.34,0.32,0.52,130,0,0.245
angular.js,Line,DOCS,1.0,1.0,29788.66,4148073688.81,64405.54,0.15,0.24,204,0,0.154
angular.js,Module,DOCS,1.0,1.0,110.42,50615.68,224.98,0.32,0.58,204,0,0.154
Odin,Line,DOCS,1.0,1.0,19.34,7018.82,83.78,0.94,0.94,35,0,0.669
Odin,Module,DOCS,1.0,1.0,0.32,1.82,1.35,0.94,0.94,35,0,0.669
brew,Line,BUG,1.0,1.0,709.38,16308176.17,4038.34,0.18,0.26,152,0,0.315
brew,Module,BUG,1.0,1.0,57.36,33073.1,181.86,0.22,0.35,152,0,0.315
mesos,Line,DOCS,1.0,1.0,465.59,2399395.82,1549.0,0.73,0.81,257,0,0.518
mesos,Module,DOCS,1.0,1.0,8.22,822.41,28.68,0.76,0.82,257,0,0.518
kubernetes,Line,DOCS,1.0,1.0,8349.55,322921422.4,17970.01,0.65,0.72,641,0,0.495
kubernetes,Module,DOCS,1.0,1.0,130.43,97515.74,312.28,0.65,0.73,641,0,0.495
nixpkgs,Line,DOCS,1.0,1.0,899.8,17607127.6,4196.08,0.63,0.67,93,0,0.516
nixpkgs,Module,DOCS,1.0,1.0,15.78,3502.25,59.18,0.66,0.75,93,0,0.516
node,Line,OTHER,1.0,1.0,233940.83,232709584382.58,482399.82,0.29,0.42,596,0,0.271
node,Module,OTHER,1.0,1.0,1704.52,11985738.07,3462.04,0.42,0.56,596,0,0.271
gitlabhq,Line,SUPPORT,1.0,1.0,780.05,8140749.73,2853.2,0.7,0.74,1154,0,0.516
gitlabhq,Module,SUPPORT,1.0,1.0,13.18,2611.1,51.1,0.75,0.82,1154,0,0.516
lock,Line,REFACTOR,1.0,1.0,172.21,1342251.54,1158.56,0.97,0.97,492,0,0.673
lock,Module,REFACTOR,1.0,1.0,0.96,51.84,7.2,0.97,0.98,492,0,0.673
nova,Line,REFACTOR,1.0,1.0,1725.28,53216565.64,7294.97,0.64,0.78,234,0,0.41
nova,Module,REFACTOR,1.0,1.0,56.3,45783.57,213.97,0.56,0.66,234,0,0.41
react,Line,DOCS,1.0,1.0,105558.28,302597575935.26,550088.7,0.49,0.52,130,0,0.415
react,Module,DOCS,1.0,1.0,1258.05,46700831.55,6833.8,0.51,0.62,130,0,0.415
angular.js,Line,REFACTOR,1.0,1.0,3883.09,93470276.76,9668.0,0.3,0.43,204,0,0.305
angular.js,Module,REFACTOR,1.0,1.0,21.41,3459.7,58.82,0.45,0.62,204,0,0.305
Odin,Line,REFACTOR,1.0,1.0,71.44,118527.86,344.28,0.94,0.94,35,0,0.669
Odin,Module,REFACTOR,1.0,1.0,0.31,2.7,1.64,0.94,0.97,35,0,0.669
cinder,Line,BUG,1.0,1.0,28162.36,3760513336.93,61323.02,0.29,0.4,181,0,0.342
cinder,Module,BUG,1.0,1.0,92.54,25309.27,159.09,0.54,0.81,181,0,0.342
mesos,Line,REFACTOR,1.0,1.0,447.5,1470123.44,1212.49,0.81,0.88,257,0,0.544
mesos,Module,REFACTOR,1.0,1.0,4.46,172.25,13.12,0.84,0.92,257,0,0.544
brew,Line,DOCS,1.0,1.0,254.25,687259.54,829.01,0.41,0.47,152,0,0.45
brew,Module,DOCS,1.0,1.0,12.1,731.78,27.05,0.45,0.53,152,0,0.45
nixpkgs,Line,REFACTOR,1.0,1.0,1458.12,24887157.41,4988.7,0.66,0.7,93,0,0.533
nixpkgs,Module,REFACTOR,1.0,1.0,34.04,12882.16,113.5,0.71,0.75,93,0,0.533
kubernetes,Line,REFACTOR,1.0,1.0,3393.96,228941419.85,15130.81,0.74,0.82,641,0,0.502
kubernetes,Module,REFACTOR,1.0,1.0,114.22,243610.61,493.57,0.73,0.8,641,0,0.502
lock,Line,TESTING,1.0,1.0,1911.13,196056145.8,14002.01,0.87,0.87,492,0,0.641
lock,Module,TESTING,1.0,1.0,22.48,53611.77,231.54,0.88,0.91,492,0,0.641
